Ano,Festival,Categoria,Título,Diretor,Premiado,Empate,Verificado
2015,cannes,Atriz,My King,,Emmanuelle Bercot,S,S
2015,cannes,Atriz,Carol,,Rooney Mara,S,S
2014,cannes,Filme,Winter Sleep,Nuri Bilge Ceylan,,N,S
2014,cannes,Grande Prêmio,The Wonders,Alice Rohrwacher,,N,S
2014,cannes,Prêmio do Júri,Goodbye to Language,Jean-Luc Godard,,S,S
2014,cannes,Prêmio do Júri,Mommy,Xavier Dolan,,S,S
2014,cannes,Direção,Foxcatcher,Bennett Miller,,N,S
2014,cannes,Roteiro,Leviathan,,Andrey Zvyagintsev; Oleg Negin,N,S
2014,cannes,Ator,Mr. Turner,,Timothy Spall,N,S
2014,cannes,Atriz,Maps to the Stars,,Julianne Moore,N,S
2013,cannes,Filme,Blue Is the Warmest Colour,Abdellatif Kechiche,,N,S
2013,cannes,Grande Prêmio,Inside Llewyn Davis,Joel & Ethan Coen,,N,S
2013,cannes,Prêmio do Júri,"Like Father, Like Son",Hirokazu Kore-eda,,N,S
2013,cannes,Direção,Heli,Amat Escalante,,N,S
2013,cannes,Roteiro,A Touch of Sin,,Jia Zhangke,N,S
2013,cannes,Ator,Nebraska,,Bruce Dern,N,S
2013,cannes,Atriz,The Past,,Bérénice Bejo,N,S
2012,cannes,Filme,Amour,Michael Haneke,,N,S
2012,cannes,Grande Prêmio,Reality,Matteo Garrone,,N,S
2012,cannes,Prêmio do Júri,The Angels' Share,Ken Loach,,N,S
2012,cannes,Direção,Post Tenebras Lux,Carlos Reygadas,,N,S
2012,cannes,Roteiro,Beyond the Hills,,Cristian Mungiu; Tatiana Niculescu Bran,N,S
2012,cannes,Ator,The Hunt,,Mads Mikkelsen,N,S
2012,cannes,Atriz,Beyond the Hills,,Cristina Flutur; Cosmina Stratan,N,S
2011,cannes,Filme,The Tree of Life,Terrence Malick,,N,S
2011,cannes,Grande Prêmio,The Kid with a Bike,Jean-Pierre & Luc Dardenne,,S,S
2011,cannes,Grande Prêmio,Once Upon a Time in Anatolia,Nuri Bilge Ceylan,,S,S
2011,cannes,Prêmio do Júri,Polisse,Maïwenn,,N,S
2011,cannes,Direção,Drive,Nicolas Winding Refn,,N,S
2011,cannes,Roteiro,Footnote,,Joseph Cedar,N,S
2011,cannes,Ator,The Artist,,Jean Dujardin,N,S
2011,cannes,Atriz,Melancholia,,Kirsten Dunst,N,S
2010,cannes,Filme,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,,N,S
2010,cannes,Grande Prêmio,Of Gods and Men,Xavier Beauvois,,N,S
2010,cannes,Prêmio do Júri,A Screaming Man,Mahamat-Saleh Haroun,,N,S
2010,cannes,Direção,On Tour,Mathieu Amalric,,N,S
2010,cannes,Roteiro,Poetry,,Lee Chang-dong,N,S
2010,cannes,Ator,Biutiful,,Javier Bardem,S,S
2010,cannes,Ator,La nostra vita,,Elio Germano,S,S
2010,cannes,Atriz,Certified Copy,,Juliette Binoche,N,S
2009,cannes,Filme,The White Ribbon,Michael Haneke,,N,S
2009,cannes,Grande Prêmio,A Prophet,Jacques Audiard,,N,S
2009,cannes,Prêmio do Júri,Fish Tank,Andrea Arnold,,S,S
2009,cannes,Prêmio do Júri,Thirst,Park Chan-wook,,S,S
2009,cannes,Direção,Kinatay,Brillante Mendoza,,N,S
2009,cannes,Roteiro,Spring Fever,,Mei Feng,N,S
2009,cannes,Ator,Inglourious Basterds,,Christoph Waltz,N,S
2009,cannes,Atriz,Antichrist,,Charlotte Gainsbourg,N,S
2008,cannes,Filme,The Class,Laurent Cantet,,N,S
2008,cannes,Grande Prêmio,Gomorrah,Matteo Garrone,,N,S
2008,cannes,Prêmio do Júri,Il divo,Paolo Sorrentino,,N,S
2008,cannes,Direção,Three Monkeys,Nuri Bilge Ceylan,,N,S
2008,cannes,Roteiro,Lorna's Silence,,Jean-Pierre & Luc Dardenne,N,S
2008,cannes,Ator,Che,,Benicio del Toro,N,S
2008,cannes,Atriz,Linha de Passe,,Sandra Corveloni,N,S
2007,cannes,Filme,"4 Months, 3 Weeks and 2 Days",Cristian Mungiu,,N,S
2007,cannes,Grande Prêmio,The Mourning Forest,Naomi Kawase,,N,S
2007,cannes,Prêmio do Júri,Persepolis,Marjane Satrapi & Vincent Paronnaud,,S,S
2007,cannes,Prêmio do Júri,Silent Light,Carlos Reygadas,,S,S
2007,cannes,Direção,The Diving Bell and the Butterfly,Julian Schnabel,,N,S
2007,cannes,Roteiro,The Edge of Heaven,,Fatih Akin,N,S
2007,cannes,Ator,The Banishment,,Konstantin Lavronenko,N,S
2007,cannes,Atriz,Secret Sunshine,,Jeon Do-yeon,N,S
2006,cannes,Filme,The Wind That Shakes the Barley,Ken Loach,,N,S
2006,cannes,Grande Prêmio,Flanders,Bruno Dumont,,N,S
2006,cannes,Prêmio do Júri,Red Road,Andrea Arnold,,N,S
2006,cannes,Direção,Babel,Alejandro González Iñárritu,,N,S
2006,cannes,Roteiro,Volver,,Pedro Almodóvar,N,S
2006,cannes,Ator,Days of Glory,,elenco (Roschdy Zem et al.),N,S
