Ano,Festival,Categoria,Título,Diretor,Premiado,Empate,Verificado
2014,oscar,Ator,Dallas Buyers Club,,Matthew McConaughey,N,N
2014,oscar,Atriz,Blue Jasmine,,Cate Blanchett,N,N
2013,oscar,Filme,Argo,Ben Affleck,,N,N
2013,oscar,Direção,Life of Pi,Ang Lee,,N,N
2013,oscar,Roteiro,Argo,,Chris Terrio,N,N
2013,oscar,Roteiro,Django Unchained,,Quentin Tarantino,N,N
2013,oscar,Filme Estrangeiro,Amour,Michael Haneke,,N,N
2013,oscar,Ator,Lincoln,,Daniel Day-Lewis,N,N
2013,oscar,Atriz,Silver Linings Playbook,,Jennifer Lawrence,N,N
2012,oscar,Filme,The Artist,Michel Hazanavicius,,N,N
2012,oscar,Direção,The Artist,Michel Hazanavicius,,N,N
2012,oscar,Roteiro,Midnight in Paris,,Woody Allen,N,N
2012,oscar,Roteiro,The Descendants,,Nat Faxon; Alexander Payne; Jim Rash,N,N
2012,oscar,Filme Estrangeiro,A Separation,Asghar Farhadi,,N,N
2012,oscar,Ator,The Artist,,Jean Dujardin,N,N
2012,oscar,Atriz,The Iron Lady,,Meryl Streep,N,N
2011,oscar,Filme,The King's Speech,Tom Hooper,,N,N
2011,oscar,Direção,The King's Speech,Tom Hooper,,N,N
2011,oscar,Roteiro,The King's Speech,,David Seidler,N,N
2011,oscar,Roteiro,The Social Network,,Aaron Sorkin,N,N
2011,oscar,Filme Estrangeiro,In a Better World,Susanne Bier,,N,N
2011,oscar,Ator,The King's Speech,,Colin Firth,N,N
2011,oscar,Atriz,Black Swan,,Natalie Portman,N,N
2010,oscar,Filme,The Hurt Locker,Kathryn Bigelow,,N,N
2010,oscar,Direção,The Hurt Locker,Kathryn Bigelow,,N,N
2010,oscar,Roteiro,Precious,,Geoffrey S. Fletcher,N,N
2010,oscar,Roteiro,The Hurt Locker,,Mark Boal,N,N
2010,oscar,Filme Estrangeiro,The Secret in Their Eyes,Juan J. Campanella,,N,N
2010,oscar,Ator,Crazy Heart,,Jeff Bridges,N,N
2010,oscar,Atriz,The Blind Side,,Sandra Bullock,N,N
2009,oscar,Filme,Slumdog Millionaire,Danny Boyle; Loveleen Tandan,,N,N
2009,oscar,Direção,Slumdog Millionaire,Danny Boyle,,N,N
2009,oscar,Roteiro,Milk,,Dustin Lance Black,N,N
2009,oscar,Roteiro,Slumdog Millionaire,,Simon Beaufoy,N,N
2009,oscar,Filme Estrangeiro,Departures,Yōjirō Takita,,N,N
2009,oscar,Ator,Milk,,Sean Penn,N,N
2009,oscar,Atriz,The Reader,,Kate Winslet,N,N
2008,oscar,Filme,No Country for Old Men,Joel Coen; Ethan Coen,,N,N
2008,oscar,Direção,No Country for Old Men,Joel Coen; Ethan Coen,,N,N
2008,oscar,Roteiro,Juno,,Diablo Cody,N,N
2008,oscar,Roteiro,No Country for Old Men,,Joel Coen; Ethan Coen,N,N
2008,oscar,Filme Estrangeiro,The Counterfeiters,Stefan Ruzowitzky,,N,N
2008,oscar,Ator,There Will Be Blood,,Daniel Day-Lewis,N,N
2008,oscar,Atriz,La Vie en Rose,,Marion Cotillard,N,N
2007,oscar,Filme,The Departed,Martin Scorsese,,N,N
2007,oscar,Direção,The Departed,Martin Scorsese,,N,N
2007,oscar,Roteiro,Little Miss Sunshine,,Michael Arndt,N,N
2007,oscar,Roteiro,The Departed,,William Monahan,N,N
2007,oscar,Filme Estrangeiro,The Lives of Others,Florian Henckel von Donnersmarck,,N,N
2007,oscar,Ator,The Last King of Scotland,,Forest Whitaker,N,N
2007,oscar,Atriz,The Queen,,Helen Mirren,N,N
2006,oscar,Filme,Crash,Paul Haggis,,N,N
2006,oscar,Direção,Brokeback Mountain,Ang Lee,,N,N
2006,oscar,Roteiro,Brokeback Mountain,,Diana Ossana; Larry McMurtry,N,N
2006,oscar,Roteiro,Crash,,Paul Haggis; Robert Moresco,N,N
2006,oscar,Filme Estrangeiro,Tsotsi,Gavin Hood,,N,N
2006,oscar,Ator,Capote,,Philip Seymour Hoffman,N,N
2006,oscar,Atriz,Walk the Line,,Reese Witherspoon,N,N
2005,oscar,Filme,Million Dollar Baby,Clint Eastwood,,N,N
2005,oscar,Direção,Million Dollar Baby,Clint Eastwood,,N,N
2005,oscar,Roteiro,Eternal Sunshine of the Spotless Mind,,Charlie Kaufman; Michel Gondry; Pierre Bismuth,N,N
2005,oscar,Roteiro,Sideways,,Jim Taylor; Alexander Payne,N,N
2005,oscar,Filme Estrangeiro,The Sea Inside,Alejandro Amenábar,,N,N
2005,oscar,Ator,Ray,,Jamie Foxx,N,N
2005,oscar,Atriz,Million Dollar Baby,,Hilary Swank,N,N
2004,oscar,Filme,The Lord of the Rings: The Return of the King,Peter Jackson,,N,N
2004,oscar,Direção,The Lord of the Rings: The Return of the King,Peter Jackson,,N,N
2004,oscar,Roteiro,Lost in Translation,,Sofia Coppola,N,N
2004,oscar,Roteiro,The Lord of the Rings: The Return of the King,,Philippa Boyens; Fran Walsh; Peter Jackson,N,N
2004,oscar,Filme Estrangeiro,The Barbarian Invasions,Denys Arcand,,N,N
2004,oscar,Ator,Mystic River,,Sean Penn,N,N
2004,oscar,Atriz,Monster,,Charlize Theron,N,N
2003,oscar,Filme,Chicago,Rob Marshall,,N,N
2003,oscar,Direção,The Pianist,Roman Polanski,,N,N
2003,oscar,Roteiro,Talk to Her,,Pedro Almodóvar,N,N
2003,oscar,Roteiro,The Pianist,,Ronald Harwood,N,N
2003,oscar,Filme Estrangeiro,Nowhere in Africa,Caroline Link,,N,N
2003,oscar,Ator,The Pianist,,Adrien Brody,N,N
2003,oscar,Atriz,The Hours,,Nicole Kidman,N,N
2002,oscar,Filme,A Beautiful Mind,Ron Howard,,N,N
2002,oscar,Direção,A Beautiful Mind,Ron Howard,,N,N
2002,oscar,Roteiro,A Beautiful Mind,,Akiva Goldsman,N,N
2002,oscar,Roteiro,Gosford Park,,Julian Fellowes,N,N
2002,oscar,Filme Estrangeiro,No Man's Land,Danis Tanović,,N,N
2002,oscar,Ator,Training Day,,Denzel Washington,N,N
2002,oscar,Atriz,Monster's Ball,,Halle Berry,N,N
2001,oscar,Filme,Gladiator,Ridley Scott,,N,N
2001,oscar,Direção,Traffic,Steven Soderbergh,,N,N
2001,oscar,Roteiro,Almost Famous,,Cameron Crowe,N,N
2001,oscar,Roteiro,Traffic,,Stephen Gaghan,N,N
2001,oscar,Filme Estrangeiro,"Crouching Tiger, Hidden Dragon",Ang Lee,,N,N
2001,oscar,Ator,Gladiator,,Russell Crowe,N,N
2001,oscar,Atriz,Erin Brockovich,,Julia Roberts,N,N
2000,oscar,Filme,American Beauty,Sam Mendes,,N,N
2000,oscar,Direção,American Beauty,Sam Mendes,,N,N
2000,oscar,Roteiro,American Beauty,,Alan Ball,N,N
2000,oscar,Roteiro,The Cider House Rules,,John Irving,N,N
2000,oscar,Filme Estrangeiro,All About My Mother,Pedro Almodóvar,,N,N
2000,oscar,Ator,American Beauty,,Kevin Spacey,N,N
2000,oscar,Atriz,Boys Don't Cry,,Hilary Swank,N,N
1999,oscar,Filme,Shakespeare in Love,John Madden,,N,N
1999,oscar,Direção,Saving Private Ryan,Steven Spielberg,,N,N
1999,oscar,Roteiro,Gods and Monsters,,Bill Condon,N,N
1999,oscar,Roteiro,Shakespeare in Love,,Tom Stoppard; Marc Norman,N,N
1999,oscar,Filme Estrangeiro,Life Is Beautiful,Roberto Benigni,,N,N
1999,oscar,Ator,Life Is Beautiful,,Roberto Benigni,N,N
1999,oscar,Atriz,Shakespeare in Love,,Gwyneth Paltrow,N,N
1998,oscar,Filme,Titanic,James Cameron,,N,N
1998,oscar,Direção,Titanic,James Cameron,,N,N
1998,oscar,Roteiro,Good Will Hunting,,Ben Affleck; Matt Damon,N,N
