festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
oscar,Roteiro,1985,Places in the Heart,,Robert Benton,N,S
oscar,Roteiro,1984,Tender Mercies,,Horton Foote,N,S
oscar,Roteiro,1984,Terms of Endearment,,James L. Brooks,N,S
oscar,Roteiro,1983,Gandhi,,John Briley,N,S
oscar,Roteiro,1983,Missing,,Donald E. Stewart; Costa-Gavras,N,S
oscar,Roteiro,1982,Chariots of Fire,,Colin Welland,N,S
oscar,Roteiro,1982,On Golden Pond,,Ernest Thompson,N,S
oscar,Roteiro,1981,Melvin and Howard,,Bo Goldman,N,S
oscar,Roteiro,1981,Ordinary People,,Alvin Sargent,N,S
oscar,Roteiro,1980,Breaking Away,,Steve Tesich,N,S
oscar,Roteiro,1980,Kramer vs. Kramer,,Robert Benton,N,S
oscar,Roteiro,1979,Coming Home,,Waldo Salt; Robert C. Jones; Nancy Dowd,N,S
oscar,Roteiro,1979,Midnight Express,,Oliver Stone,N,S
oscar,Roteiro,1978,Annie Hall,,Marshall Brickman; Woody Allen,N,S
oscar,Roteiro,1978,Julia,,Alvin Sargent,N,S
oscar,Roteiro,1977,All the President's Men,,William Goldman,N,S
oscar,Roteiro,1977,Network,,Paddy Chayefsky,N,S
oscar,Roteiro,1976,Dog Day Afternoon,,Frank Pierson,N,S
oscar,Roteiro,1976,One Flew Over the Cuckoo's Nest,,Bo Goldman; Lawrence Hauben,N,S
oscar,Roteiro,1975,Chinatown,,Robert Towne,N,S
oscar,Roteiro,1975,The Godfather Part II,,Mario Puzo; Francis Ford Coppola,N,S
oscar,Roteiro,1974,The Exorcist,,William Peter Blatty,N,S
oscar,Roteiro,1974,The Sting,,David S. Ward,N,S
oscar,Roteiro,1973,The Candidate,,Jeremy Larner,N,S
oscar,Roteiro,1973,The Godfather,,Mario Puzo; Francis Ford Coppola,N,S
oscar,Roteiro,1972,The French Connection,,Ernest Tidyman,N,S
oscar,Roteiro,1972,The Hospital,,Paddy Chayefsky,N,S
oscar,Roteiro,1971,MASH,,Ring Lardner Jr.,N,S
oscar,Roteiro,1971,Patton,,Francis Ford Coppola; Edmund H. North,N,S
oscar,Roteiro,1970,Butch Cassidy and the Sundance Kid,,William Goldman,N,S
oscar,Roteiro,1970,Midnight Cowboy,,Waldo Salt,N,S
oscar,Roteiro,1969,The Lion in Winter,,James Goldman,N,S
oscar,Roteiro,1969,The Producers,,Mel Brooks,N,S
oscar,Roteiro,1968,Guess Who's Coming to Dinner,,William Rose,N,S
oscar,Roteiro,1968,In the Heat of the Night,,Stirling Silliphant,N,S
